timestamp, id, price (in eth), price (in wei)
2021-03-20 00:07:28 UTC, 0x000827f79e, 1.500000, 1500000000000000000
2021-03-20 00:10:24 UTC, 0x0012a73d68, 1.000000, 1000000000000000000
2021-03-20 00:35:14 UTC, 0x0061df680a, 1.123450, 1123450000000000000
2021-03-20 00:49:52 UTC, 0x002a2a51d2, 0.500000, 500000000000000000
2021-03-20 00:54:19 UTC, 0x003519a819, 0.520000, 520000000000000000
2021-03-20 02:18:35 UTC, 0x001939e943, 1.500000, 1500000000000000000
2021-03-20 02:22:00 UTC, 0x00930d9bb8, 0.450000, 450000000000000000
2021-03-20 02:25:43 UTC, 0x00b7160bdc, 0.450000, 450000000000000000
2021-03-20 02:28:40 UTC, 0x00ad7b1193, 0.495000, 495000000000000000
2021-03-20 02:36:42 UTC, 0x00314bd521, 0.500000, 500000000000000000
2021-03-20 03:58:00 UTC, 0x00ef3b686a, 0.500000, 500000000000000000
2021-03-20 04:09:07 UTC, 0x0028198740, 0.699900, 699900000000000000
2021-03-20 04:11:19 UTC, 0x00d791e313, 0.770000, 770000000000000000
2021-03-20 04:18:53 UTC, 0x0063feb0e1, 1.030000, 1030000000000000000
2021-03-20 04:21:04 UTC, 0x000797e25a, 0.730000, 730000000000000000
2021-03-20 04:23:07 UTC, 0x00c96ecada, 0.490000, 490000000000000000
2021-03-20 05:26:28 UTC, 0x0044580211, 0.798700, 798700000000000000
2021-03-20 06:51:12 UTC, 0x00187bf582, 0.810000, 810000000000000000
2021-03-20 06:54:23 UTC, 0x00fe114384, 0.400000, 400000000000000000
2021-03-20 06:58:35 UTC, 0x009983d627, 0.499000, 499000000000000000
2021-03-20 07:07:33 UTC, 0x00fecc148b, 0.400000, 400000000000000000
2021-03-20 07:57:22 UTC, 0x0015943132, 0.666000, 666000000000000000
2021-03-20 08:49:23 UTC, 0x00089bcfed, 0.500000, 500000000000000000
2021-03-20 09:02:46 UTC, 0x00d8cad0b0, 0.450000, 450000000000000000
2021-03-20 09:08:53 UTC, 0x00b8c4fe13, 0.450000, 450000000000000000
2021-03-20 09:36:39 UTC, 0x0010d7f19b, 0.500000, 500000000000000000
2021-03-20 10:14:08 UTC, 0x002497b348, 0.500000, 500000000000000000
2021-03-20 10:21:38 UTC, 0x003f3f095a, 0.450000, 450000000000000000
2021-03-20 10:22:04 UTC, 0x005960da74, 0.450000, 450000000000000000
2021-03-20 12:48:58 UTC, 0x00277449db, 0.490000, 490000000000000000
2021-03-20 13:10:06 UTC, 0x007d903f68, 0.489000, 489000000000000000
2021-03-20 13:33:22 UTC, 0x001cd975e7, 0.830000, 830000000000000000
2021-03-20 13:38:27 UTC, 0x005cfab011, 0.500000, 500000000000000000
2021-03-20 13:49:52 UTC, 0x00102cf534, 0.500000, 500000000000000000
2021-03-20 13:52:17 UTC, 0x00407b8e2b, 0.500000, 500000000000000000
2021-03-20 14:03:27 UTC, 0x00234ee228, 0.500000, 500000000000000000
2021-03-20 14:25:31 UTC, 0x0058452c9b, 0.780000, 780000000000000000
2021-03-20 14:25:54 UTC, 0x007e625785, 0.486100, 486100000000000000
2021-03-20 14:25:54 UTC, 0x009f72154f, 0.500000, 500000000000000000
2021-03-20 14:26:54 UTC, 0x00a2e2a277, 0.500000, 500000000000000000
