timestamp, id, price (in eth), price (in wei)
2021-03-24 00:25:54 UTC, 0x00152de904, 0.450000, 450000000000000000
2021-03-24 02:10:24 UTC, 0x009b99a72d, 0.320000, 320000000000000000
2021-03-24 02:14:07 UTC, 0x0048ec4c4c, 0.310000, 310000000000000000
2021-03-24 02:16:19 UTC, 0x002a82a964, 0.390000, 390000000000000000
2021-03-24 03:17:51 UTC, 0x000202b1c0, 1.500000, 1500000000000000000
2021-03-24 03:31:45 UTC, 0x00f38f3ff4, 0.300000, 300000000000000000
2021-03-24 04:57:20 UTC, 0x00f2a538fb, 0.320000, 320000000000000000
2021-03-24 05:09:35 UTC, 0x007bbc4a93, 0.300000, 300000000000000000
2021-03-24 05:26:47 UTC, 0x00ede66726, 0.500000, 500000000000000000
2021-03-24 06:49:54 UTC, 0x00b06bc6ca, 0.339999, 339999000000000000
2021-03-24 09:09:59 UTC, 0x0031106fd8, 0.415000, 415000000000000000
2021-03-24 11:01:09 UTC, 0x00ecb5599e, 0.338800, 338800000000000000
2021-03-24 11:10:50 UTC, 0x0077dd60d2, 0.339900, 339900000000000000
2021-03-24 11:26:42 UTC, 0x001cf6707c, 0.300000, 300000000000000000
2021-03-24 12:56:33 UTC, 0x006aad6fb2, 0.299900, 299900000000000000
2021-03-24 13:24:20 UTC, 0x0097f111f4, 0.300000, 300000000000000000
2021-03-24 14:35:26 UTC, 0x00dadcbfca, 0.300000, 300000000000000000
2021-03-24 15:00:23 UTC, 0x0055c2974e, 0.700000, 700000000000000000
2021-03-24 15:09:45 UTC, 0x008838b702, 0.820000, 820000000000000000
2021-03-24 15:19:03 UTC, 0x0010b15dc8, 0.310000, 310000000000000000
2021-03-24 16:40:09 UTC, 0x00ad4fa6a7, 0.380000, 380000000000000000
2021-03-24 16:42:54 UTC, 0x000414f978, 0.630000, 630000000000000000
2021-03-24 16:55:19 UTC, 0x00bf0fc09b, 0.380000, 380000000000000000
2021-03-24 17:07:53 UTC, 0x001f942a44, 0.379900, 379900000000000000
2021-03-24 17:18:39 UTC, 0x00d3442de9, 0.380000, 380000000000000000
2021-03-24 19:08:08 UTC, 0x00b24706fb, 0.339900, 339900000000000000
2021-03-24 19:09:12 UTC, 0x00ad3fe5d6, 0.380000, 380000000000000000
2021-03-24 19:59:21 UTC, 0x00a7acc309, 0.500000, 500000000000000000
2021-03-24 20:03:46 UTC, 0x00b5eaa853, 0.500000, 500000000000000000
2021-03-24 20:41:00 UTC, 0x006e6af0c5, 0.510000, 510000000000000000
2021-03-24 21:39:13 UTC, 0x004d93e5ba, 0.340000, 340000000000000000
2021-03-24 21:41:51 UTC, 0x0036bfebb7, 0.310000, 310000000000000000
2021-03-24 21:41:51 UTC, 0x009ff94387, 0.290000, 290000000000000000
2021-03-24 21:44:19 UTC, 0x00afbe818c, 0.350000, 350000000000000000
2021-03-24 21:48:15 UTC, 0x00b63f3350, 0.370000, 370000000000000000
2021-03-24 21:49:38 UTC, 0x00a7acc309, 0.660000, 660000000000000000
2021-03-24 21:53:13 UTC, 0x00b9d93f8d, 0.580000, 580000000000000000
2021-03-24 21:59:13 UTC, 0x00da7f0c0c, 0.480000, 480000000000000000
2021-03-24 21:59:15 UTC, 0x0024de25bf, 0.490000, 490000000000000000
2021-03-24 22:10:38 UTC, 0x00b394174a, 0.379900, 379900000000000000
2021-03-24 22:17:24 UTC, 0x0003b20770, 0.500000, 500000000000000000
2021-03-24 22:44:56 UTC, 0x00c55df25b, 0.510000, 510000000000000000
2021-03-24 23:45:47 UTC, 0x00281ca724, 0.490000, 490000000000000000
