timestamp, id, price (in eth), price (in wei), from, to, block
2017-08-13 20:56:08 UTC, 0x00939d8ee5, 0.008000, 8000000000000000, 0x8cfdec735c9ea4826d83fb48e9cdcdb0e875cd44, 0x932988047883b4bf6d19c784e52e34ad5352a77b, 4154033
2017-08-13 20:56:23 UTC, 0x00dfd5c395, 0.020000, 20000000000000000, 0xca2aa37436c0ca460476221590ee4573b21df42e, 0x932988047883b4bf6d19c784e52e34ad5352a77b, 4154035
2017-08-13 20:58:10 UTC, 0x00a081ea5f, 0.052300, 52300000000000000, 0x918453d249a22b6a8535c81e21f7530cd6ab59f1, 0x932988047883b4bf6d19c784e52e34ad5352a77b, 4154040
